,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0
160,1932.0,1.2204705e-07,1.90751775e-07,7.0660445e-08,1932,4.6292445e-06,9.018732249999999e-06,2.8936814999999997e-06,1932,10.0037
161,1944.0,1.204906e-07,1.7720545e-07,6.139034000000001e-08,1944,4.395048e-06,8.06222275e-06,2.4649925e-06,1944,10.0037
162,1956.0,1.182682e-07,1.7553525e-07,6.0188155e-08,1956,4.0868805e-06,6.7949945e-06,2.2752252499999997e-06,1956,10.0037
163,1968.0,1.0435561e-07,1.64775475e-07,4.8408525000000004e-08,1968,3.7564229999999997e-06,6.06926775e-06,2.255067e-06,1968,10.0037
164,1980.0,9.72441e-08,1.3772192499999999e-07,4.195919e-08,1980,3.409395e-06,5.913806e-06,2.04725475e-06,1980,10.0037
165,1992.0,7.536669e-08,1.1572385e-07,3.79850525e-08,1992,3.138455e-06,4.94955975e-06,1.687409e-06,1992,10.0037
166,2004.0,6.2522595e-08,1.03593475e-07,3.593121e-08,2004,2.492219e-06,4.27371675e-06,1.45856475e-06,2004,10.0037
167,2016.0,6.2522595e-08,8.55510875e-08,2.91128975e-08,2016,2.464947e-06,4.231386e-06,1.41975275e-06,2016,10.0037
168,2028.0,6.139374e-08,8.52800125e-08,2.7661812499999998e-08,2028,2.3516735e-06,3.75869575e-06,1.2331545e-06,2028,10.0037
169,2040.0,5.5692430000000005e-08,8.35353675e-08,2.409001e-08,2040,1.8235914999999999e-06,3.4664992500000002e-06,1.0289367500000001e-06,2040,10.0037
170,2052.0,4.5252005000000005e-08,7.1181815e-08,2.1833125e-08,2052,1.7548979999999999e-06,3.23103925e-06,9.9124925e-07,2052,10.0037
171,2064.0,3.78006e-08,6.50346525e-08,1.79120275e-08,2064,1.6459505e-06,3.0400069999999997e-06,9.22689525e-07,2064,10.0037
172,2076.0,3.3912875000000004e-08,5.919881e-08,1.7446345e-08,2076,1.6459505e-06,2.65540025e-06,8.2645085e-07,2076,10.0037
173,2088.0,3.1593635e-08,5.30014725e-08,1.4767892499999999e-08,2088,1.4376224999999999e-06,2.30674925e-06,7.933173249999999e-07,2088,10.0037
174,2100.0,3.0975465000000004e-08,5.01717325e-08,1.314635e-08,2100,1.3026085e-06,2.18544375e-06,7.2348105e-07,2100,10.0037
175,2112.0,2.8788679999999998e-08,4.6345145e-08,1.314635e-08,2112,1.2133325e-06,1.92865125e-06,6.754104e-07,2112,10.0037
176,2124.0,2.3794925e-08,4.34241575e-08,1.19388925e-08,2124,8.634903e-07,1.5902925000000002e-06,6.117931250000001e-07,2124,10.0037
177,2136.0,2.1911410000000002e-08,3.53308275e-08,1.112704e-08,2136,7.6171055e-07,1.4465385e-06,5.09422875e-07,2136,10.0037
178,2148.0,2.0277479999999998e-08,3.10853675e-08,9.75124175e-09,2148,7.3191815e-07,1.3547875000000001e-06,5.0565825e-07,2148,10.0037
179,2160.0,1.721927e-08,3.10853675e-08,9.75124175e-09,2160,7.1098225e-07,1.12096125e-06,4.0813035000000004e-07,2160,10.0037
180,2172.0,1.6550880000000002e-08,2.9119405e-08,9.75124175e-09,2172,6.911407500000001e-07,1.0904855e-06,3.37449375e-07,2172,10.0037
181,2184.0,1.6201845000000002e-08,2.42367325e-08,9.2490695e-09,2184,6.0243665e-07,1.022197425e-06,3.079449e-07,2184,10.0037
182,2196.0,1.289593e-08,2.3599185e-08,9.2490695e-09,2196,5.289055999999999e-07,8.67771525e-07,3.079449e-07,2196,10.0037
