,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,0,0
109,1320.0,2.3703275e-05,5.05216025e-05,1.21354225e-05,1320,0.0008671257000000001,0.0012519764999999999,0.0005747131000000001,1320,28.5731,1.901283
110,1332.0,1.964396e-05,5.05216025e-05,1.059657e-05,1332,0.00083281235,0.001225163,0.00056191615,1332,28.5731,1.901283
111,1344.0,1.964396e-05,4.50885125e-05,9.266362000000001e-06,1344,0.00071354855,0.00116347875,0.00047936875,1344,28.5731,1.901283
112,1356.0,1.6768665e-05,3.638405e-05,8.4368945e-06,1356,0.0006851781000000001,0.00103485825,0.00043778275,1356,28.5731,1.901283
113,1368.0,1.599184e-05,3.3897185e-05,8.27537325e-06,1368,0.0005770325000000001,0.000997578175,0.000379880125,1368,28.5731,1.901283
114,1380.0,1.490248e-05,3.3862115e-05,7.904703750000001e-06,1380,0.00051013525,0.000889199925,0.00036015057500000003,1380,28.5731,1.901283
115,1392.0,1.4520155e-05,3.2253825e-05,6.908991e-06,1392,0.0004876023,0.0007244525000000001,0.000333141225,1392,28.5731,1.901283
116,1404.0,1.2541135e-05,2.87965975e-05,6.908991e-06,1404,0.00038487435,0.000614809375,0.000324582725,1404,28.5731,1.901283
117,1416.0,1.1870685e-05,2.3881194999999997e-05,5.13383375e-06,1416,0.0003624167,0.0005993645,0.000271935825,1416,28.5731,1.901283
118,1428.0,1.05837495e-05,1.9202907500000003e-05,4.718670749999999e-06,1428,0.00035814665,0.0005752796750000001,0.00024626677499999997,1428,28.5731,1.901283
119,1440.0,8.4917855e-06,1.7682555e-05,4.63466925e-06,1440,0.00032034975,0.000473361,0.000238211325,1440,28.5731,1.901283
120,1452.0,8.163031000000001e-06,1.66263925e-05,3.89942275e-06,1452,0.00030115459999999997,0.0004463187,0.0001812747,1452,28.5731,1.901283
121,1464.0,7.354797500000001e-06,1.60377375e-05,3.4016555e-06,1464,0.000245234,0.000396783675,0.00017198594999999999,1464,28.5731,1.901283
122,1476.0,6.0218184999999994e-06,1.510469e-05,2.90120875e-06,1476,0.00024192824999999998,0.00031231917500000004,0.00016146885,1476,28.5731,1.901283
123,1488.0,5.560821e-06,1.26840575e-05,2.74294025e-06,1488,0.0002205827,0.00029438605,0.000136486425,1488,28.5731,1.901283
124,1500.0,4.8436795e-06,1.14797875e-05,2.522513e-06,1500,0.00018830639999999998,0.00027503365,0.00012385675,1500,28.5731,1.901283
125,1512.0,4.627938e-06,9.79115975e-06,2.2943195e-06,1512,0.00016850935,0.0002340282,0.00010429855,1512,28.5731,1.901283
126,1524.0,4.146655e-06,9.56359675e-06,2.0252425e-06,1524,0.00016397185,0.00023039782499999998,8.734555749999999e-05,1524,28.5731,1.901283
127,1536.0,3.665379e-06,8.1708245e-06,1.82252325e-06,1536,0.00015099795,0.00019884145,8.273664250000001e-05,1536,28.5731,1.901283
128,1548.0,3.3997684999999997e-06,7.26031175e-06,1.56564175e-06,1548,0.0001430839,0.00019884145,7.9197625e-05,1548,28.5731,1.901283
129,1560.0,3.211066e-06,7.07814425e-06,1.4657130000000001e-06,1560,0.00012752685,0.00019130155,7.33829575e-05,1560,28.5731,1.901283
130,1572.0,3.0932425e-06,5.63550725e-06,1.441844e-06,1572,0.0001130243,0.00017954795,7.14533475e-05,1572,28.5731,1.901283
131,1584.0,2.9426965000000002e-06,5.63550725e-06,1.3856675e-06,1584,0.00010772949999999999,0.000158235275,6.0200977500000004e-05,1584,28.5731,1.901283
132,1596.0,2.836094e-06,4.917902e-06,1.15613875e-06,1596,8.3136165e-05,0.00013986925,4.85916025e-05,1596,28.5731,1.901283
133,1608.0,2.6773775e-06,4.78794575e-06,1.02898025e-06,1608,7.769381e-05,0.000135726925,4.40269425e-05,1608,28.5731,1.901283
134,1620.0,2.1945155e-06,3.5993642500000003e-06,9.500032749999999e-07,1620,7.279918e-05,0.00011180162499999999,4.2099037500000004e-05,1620,28.5731,1.901283
135,1632.0,1.593225e-06,3.3992435e-06,8.26119625e-07,1632,7.168827e-05,0.0001030196,4.105952e-05,1632,28.5731,1.901283
136,1644.0,1.5804164999999999e-06,3.14081275e-06,7.84599475e-07,1644,6.212895e-05,9.935421499999999e-05,3.5456985e-05,1644,28.5731,1.901283
137,1656.0,1.5651769999999999e-06,3.116701e-06,7.19238675e-07,1656,6.0403105e-05,9.13034325e-05,3.3193792500000003e-05,1656,28.5731,1.901283
138,1668.0,1.3679955e-06,2.7273374999999998e-06,6.497989e-07,1668,5.5764045e-05,7.777023499999999e-05,2.78290425e-05,1668,28.5731,1.901283
139,1680.0,1.203354e-06,2.35484475e-06,5.42240775e-07,1680,5.3092260000000004e-05,6.61378975e-05,2.6041742499999998e-05,1680,28.5731,1.901283
140,1692.0,1.19446e-06,2.2615482499999998e-06,4.73011575e-07,1692,4.253732e-05,6.18417275e-05,2.02187125e-05,1692,28.5731,1.901283
141,1704.0,1.1624135e-06,1.770222e-06,4.73011575e-07,1704,3.1806935000000004e-05,5.6214937499999995e-05,1.9175524999999998e-05,1704,28.5731,1.901283
142,1716.0,1.00586725e-06,1.6625000000000002e-06,4.43433175e-07,1716,2.9421365e-05,4.78308725e-05,1.8486185e-05,1716,28.5731,1.901283
143,1728.0,9.234360000000001e-07,1.483621e-06,4.157955e-07,1728,2.6672205e-05,4.24033425e-05,1.5901427500000002e-05,1728,28.5731,1.901283
144,1740.0,8.0234525e-07,1.46269525e-06,3.616833e-07,1740,2.592953e-05,4.0064535000000005e-05,1.5763115e-05,1740,28.5731,1.901283
145,1752.0,6.908785999999999e-07,1.13646825e-06,3.0895745e-07,1752,2.319521e-05,3.5575262500000006e-05,1.56711525e-05,1752,28.5731,1.901283
146,1764.0,6.5323195e-07,1.13646825e-06,2.750773e-07,1764,2.0988009999999997e-05,3.16360725e-05,1.4442845e-05,1764,28.5731,1.901283
147,1776.0,6.198615e-07,1.044394325e-06,2.669219e-07,1776,1.8440765e-05,2.7584735e-05,1.4217925e-05,1776,28.5731,1.901283
148,1788.0,5.759601499999999e-07,1.000927625e-06,2.40411475e-07,1788,1.7305450000000002e-05,2.5718385e-05,1.1239845e-05,1788,28.5731,1.901283
149,1800.0,5.2310125e-07,9.057026499999999e-07,2.108211e-07,1800,1.5304895000000003e-05,2.29045575e-05,9.481067500000001e-06,1800,28.5731,1.901283
150,1812.0,4.3693375000000003e-07,8.74616725e-07,2.108211e-07,1812,1.471127e-05,2.10817375e-05,9.1138665e-06,1812,28.5731,1.901283
151,1824.0,4.1115955e-07,7.209996749999999e-07,2.10174325e-07,1824,1.3162865e-05,1.8665295e-05,8.71902575e-06,1824,28.5731,1.901283
152,1836.0,3.3105535e-07,6.40766825e-07,1.68079875e-07,1836,1.209826e-05,1.7326465e-05,7.98106125e-06,1836,28.5731,1.901283
153,1848.0,3.1249555000000003e-07,4.798390249999999e-07,1.4631654999999998e-07,1848,1.01187785e-05,1.6617035000000003e-05,7.488438999999999e-06,1848,28.5731,1.901283
154,1860.0,3.0048894999999996e-07,4.6868665e-07,1.4050885e-07,1860,9.167130499999999e-06,1.47130375e-05,5.30489825e-06,1860,28.5731,1.901283
155,1872.0,2.782703e-07,4.37128925e-07,1.046894e-07,1872,8.627135e-06,1.116352e-05,5.199068e-06,1872,28.5731,1.901283
156,1884.0,2.636453e-07,4.0999685e-07,1.046894e-07,1884,7.9201295e-06,1.070607925e-05,4.7296025e-06,1884,28.5731,1.901283
157,1896.0,2.3508935e-07,3.885579e-07,8.80535425e-08,1896,7.192966000000001e-06,1.025443675e-05,3.8851805e-06,1896,28.5731,1.901283
158,1908.0,2.0624225e-07,3.7213387499999996e-07,8.473434250000001e-08,1908,6.1070485e-06,8.120856249999999e-06,3.71327275e-06,1908,28.5731,1.901283
159,1920.0,1.740152e-07,3.6175939999999997e-07,7.243895249999999e-08,1920,5.6127395e-06,7.7722775e-06,3.2710139999999996e-06,1920,28.5731,1.901283
160,1932.0,1.675977e-07,2.9191809999999997e-07,7.243895249999999e-08,1932,4.991258e-06,7.3883055e-06,2.96473025e-06,1932,28.5731,1.901283
161,1944.0,1.4634805e-07,2.62717925e-07,6.7642915e-08,1944,4.8821615e-06,7.155898250000001e-06,2.76019575e-06,1944,28.5731,1.901283
162,1956.0,1.2264054999999998e-07,2.52199125e-07,6.419286e-08,1956,4.260284e-06,5.95973475e-06,2.7114729999999997e-06,1956,28.5731,1.901283
163,1968.0,1.06711655e-07,2.26111325e-07,5.38336925e-08,1968,3.4544885e-06,5.650116e-06,2.2469055e-06,1968,28.5731,1.901283
164,1980.0,8.9300025e-08,2.21916325e-07,5.38336925e-08,1980,3.0996295e-06,5.27957375e-06,2.04683325e-06,1980,28.5731,1.901283
165,1992.0,8.5399135e-08,1.930171e-07,4.8052557499999996e-08,1992,2.92058e-06,4.623895e-06,1.839562e-06,1992,28.5731,1.901283
166,2004.0,8.302606e-08,1.83520825e-07,4.4102967499999996e-08,2004,2.844436e-06,3.61949825e-06,1.63830525e-06,2004,28.5731,1.901283
167,2016.0,7.8901765e-08,1.828534e-07,4.3767882499999996e-08,2016,2.3591415e-06,3.58187725e-06,1.5258717499999999e-06,2016,28.5731,1.901283
168,2028.0,6.963581e-08,1.67480475e-07,4.1267465e-08,2028,2.096393e-06,3.23652425e-06,1.3926195e-06,2028,28.5731,1.901283
169,2040.0,6.231107e-08,1.37806725e-07,3.20287975e-08,2040,2.006919e-06,2.99324025e-06,1.305428e-06,2040,28.5731,1.901283
170,2052.0,6.0195405e-08,1.37806725e-07,2.7751885000000002e-08,2052,1.8655575e-06,2.723748e-06,1.2427955e-06,2052,28.5731,1.901283
171,2064.0,5.7212435e-08,1.0466255e-07,2.59602125e-08,2064,1.6460585e-06,2.487937e-06,9.11417125e-07,2064,28.5731,1.901283
172,2076.0,4.8371625e-08,1.0071211750000001e-07,2.32730175e-08,2076,1.5201449999999998e-06,2.482075e-06,8.456568e-07,2076,28.5731,1.901283
173,2088.0,4.2804775e-08,9.78186475e-08,2.228818e-08,2088,1.166699e-06,2.0848975e-06,7.1403095e-07,2088,28.5731,1.901283
174,2100.0,3.2279785e-08,8.2986785e-08,1.86461375e-08,2100,1.166699e-06,1.996675e-06,6.34005225e-07,2100,28.5731,1.901283
175,2112.0,3.1629739999999996e-08,7.5907045e-08,1.7427735e-08,2112,9.476606000000001e-07,1.84815475e-06,5.672010000000001e-07,2112,28.5731,1.901283
176,2124.0,3.1629739999999996e-08,6.17005125e-08,1.544184e-08,2124,8.9015925e-07,1.74570125e-06,5.43536625e-07,2124,28.5731,1.901283
177,2136.0,2.9617265e-08,5.22367975e-08,1.48212875e-08,2136,8.8161625e-07,1.5671915e-06,5.12632325e-07,2136,28.5731,1.901283
