,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0,EvalCount,3,0.75,0.25,EvalCount,4,0.75,0.25,EvalCount,5,0.75,0.25
14,120,0.057052955,0.20998055,0.00552609525,120,0.11747075,0.188627225,0.0920980875,120,0.09060692,0.177214175,0.0546939825,120,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,120,0.0,0.0,0.0,120,0.00672839172880295,0.036564768002687674,0.0,120,0.009636960973967199,0.02098114784063915,0.000137271218230575
15,128,0.057052955,0.20998055,0.004927086000000001,128,0.11747075,0.188627225,0.0920980875,128,0.079526365,0.177214175,0.0491807125,128,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,128,0.0,0.0,0.0,128,0.01214513762042555,0.03876243128732995,0.0026920601993851503,128,0.0048524287580557005,0.011423627355957375,0.0
16,136,0.057052955,0.20998055,0.004927086000000001,136,0.11747075,0.188627225,0.08661071249999999,136,0.079526365,0.177214175,0.0491807125,136,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,136,0.0,0.0,0.0,136,0.00775769140243185,0.01700255814957335,0.0019785937131240753,136,0.00534898595636825,0.02589978487151615,0.0
17,144,0.057052955,0.20998055,0.00415735825,144,0.11747075,0.18741965,0.0543502325,144,0.06927534,0.177214175,0.045773765,144,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,144,0.0,0.0,0.0,144,0.0037450523324596002,0.011124756984560849,0.0,144,0.0,0.004129118971726025,0.0
18,152,0.057052955,0.20998055,0.003746055,152,0.100142635,0.18741965,0.0543502325,152,0.06927534,0.177214175,0.0392385425,152,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,152,0.0,0.0,0.0,152,0.0031079581981658,0.007880686981381425,0.0,152,0.0004531570754735,0.00526381484208145,0.0
19,160,0.057052955,0.20998055,0.003746055,160,0.07559861500000001,0.18741965,0.026449605,160,0.06927534,0.177214175,0.0259915025,160,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,160,0.0,0.0,0.0,160,7.63922565047e-05,0.009958666966417925,0.0,160,0.00048323559032965,0.009593442207441549,0.0
20,168,0.057052955,0.20998055,0.003746055,168,0.05254083,0.18741965,0.0203755425,168,0.04991659,0.177214175,0.0259915025,168,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,168,0.0,0.0,0.0,168,0.00026427983196295,0.009892005093295426,0.0,168,0.0,0.003207501447103825,0.0
21,176,0.057052955,0.20998055,0.003746055,176,0.04647776,0.18741965,0.01866758,176,0.04991659,0.177214175,0.0259915025,176,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,176,0.0,0.0,0.0,176,0.0,0.0011181149886567,0.0,176,0.00017806190850447367,0.003443569035283,0.0
22,184,0.057052955,0.20998055,0.003746055,184,0.04647776,0.18741965,0.01672796,184,0.04991659,0.177214175,0.0259915025,184,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,184,0.0,0.0,0.0,184,0.0,0.0045035663586386,0.0,184,0.0,0.0032459996149963,0.0
23,192,0.057052955,0.20998055,0.003746055,192,0.04647776,0.18741965,0.016016777500000003,192,0.04991659,0.177214175,0.0259915025,192,0.111957535,0.0920272475,0.137496115,0.16861795000000002,0.0975144875,0.20998055,192,0.0,0.0,0.0,192,0.0,0.008532176906827975,0.0,192,0.0,0.004869040010229026,0.0
