,EvalCount,0,0.75,0.25,EvalCount,1,0.75,0.25,EvalCount,2,0.75,0.25,EvalCount,0,0,0,0,0,0,EvalCount,3,0.75,0.25,EvalCount,4,0.75,0.25,EvalCount,5,0.75,0.25
18,152,0.067039265,0.263048075,0.0347283725,152,0.1783454,0.285871875,0.08023659,152,0.13926885,0.291686975,0.036229672500000004,152,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,152,0.0003642961572879,0.004846651062735875,0.0,152,0.0134479262091768,0.023348820207757925,0.0085577669213636,152,0.00343604492097865,0.0140819626942498,0.0016325790899133748
19,160,0.067039265,0.263048075,0.032865372500000004,160,0.1783454,0.285871875,0.08023659,160,0.13926885,0.291686975,0.036229672500000004,160,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,160,0.00037552161242235,0.0048535482602593254,0.0,160,0.00838151660139095,0.0156696829264014,0.00186267834864555,160,0.00535071008896105,0.016967177856020223,0.001283163207824575
20,168,0.067039265,0.263048075,0.02931797,168,0.11572435,0.232594775,0.08023659,168,0.13926885,0.291686975,0.036229672500000004,168,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,168,0.0001694471879045,0.00224883504428425,0.0,168,0.012607806526489001,0.01561137505612725,0.005141662811053525,168,0.005617670092480501,0.013527102377633875,0.000808670219551425
21,176,0.067039265,0.263048075,0.028785082499999996,176,0.10973015,0.232594775,0.08023659,176,0.13926885,0.266255975,0.036229672500000004,176,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,176,0.0012070433154864999,0.0026330621742511,0.0,176,0.0064351690494150494,0.01117326708402735,0.0029294505362450498,176,0.00567941548707885,0.009073697152721575,0.0005526584412342
22,184,0.067039265,0.263048075,0.0230113725,184,0.10966495000000001,0.232594775,0.05749449,184,0.13057705,0.26344655,0.036229672500000004,184,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,184,0.0009483715301059001,0.003394167822015675,0.0,184,0.00353839578109345,0.008108130533305249,0.001642569512014175,184,0.0045294061371699,0.009725708983421474,2.4465635173127735e-05
23,192,0.067039265,0.259124675,0.0230113725,192,0.087898515,0.232594775,0.0546028575,192,0.13057705,0.261681725,0.036229672500000004,192,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,192,0.0010701633319106,0.006100357094687275,0.0,192,0.0038555364130381997,0.009675201854778576,0.001287371627057925,192,0.0038169710332642,0.0090003353680947,0.0
24,200,0.067039265,0.259124675,0.0151121425,200,0.07917039000000001,0.232594775,0.053743200000000005,200,0.13057705,0.261681725,0.0339839,200,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,200,0.0,0.0009057964237561,0.0,200,0.00261954835189445,0.008209850133126976,0.0,200,0.0039546029754911,0.008593911456779424,0.0
25,208,0.067039265,0.259124675,0.01028657,208,0.07917039000000001,0.232594775,0.050444955,208,0.13057705,0.261681725,0.029780604999999998,208,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,208,0.0,0.0018517097377427,0.0,208,0.00292943100515885,0.0074412159330576755,0.0,208,0.00600880818945325,0.0141098602155368,0.000246170854193475
26,216,0.067039265,0.259124675,0.01028657,216,0.076755555,0.232594775,0.04080502,216,0.13057705,0.261681725,0.029780604999999998,216,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,216,1.0270477403262913e-05,0.002302183968902175,0.0,216,0.00037594408925935004,0.00230839392408465,0.0,216,0.0044541621125443,0.0103890610839718,0.0
27,224,0.067039265,0.257841275,0.01028657,224,0.054638235,0.232594775,0.0299909325,224,0.13057705,0.261681725,0.02840929,224,0.38579509,0.34904849000000004,0.4266006425,0.48544584999999996,0.24706885,0.6259963749999999,224,0.0,0.0061703414496767995,0.0,224,0.0012856366154103001,0.0056748431994961,0.0,224,0.00171646022432185,0.0063074422367289,0.0
