Ite,EvalCount,BestEval,Param,MeanEval,m0,m1,eigval0,eigval1,logDetC,m,sigma,C
18,108,8.148005e-04,[[ 1.97407802 -0.79162015]],5.454785e-02,6.165230e-01,-2.771534e+00,1.001321e-01,1.338451e-01,-4.312337e+00,[ 0.61652296 -2.77153379],4.425813e-01,"[[ 0.13177993 -0.00808445]
 [-0.00808445  0.10219724]]"
19,114,8.148005e-04,[[ 1.97407802 -0.79162015]],7.929986e-03,4.833609e-01,-2.703808e+00,8.208452e-02,1.332362e-01,-4.515638e+00,[ 0.48336088 -2.70380815],3.956654e-01,"[[ 0.12481145 -0.01897265]
 [-0.01897265  0.09050922]]"
20,120,8.148005e-04,[[ 1.97407802 -0.79162015]],1.012060e-03,3.969613e-01,-2.730992e+00,7.110877e-02,1.299072e-01,-4.684480e+00,[ 0.39696133 -2.73099161],3.797446e-01,"[[ 0.12715705 -0.0124153 ]
 [-0.0124153   0.07385889]]"
21,126,8.148005e-04,[[ 1.97407802 -0.79162015]],7.981599e-04,3.889266e-01,-2.671569e+00,6.063676e-02,1.112461e-01,-4.998865e+00,[ 0.38892658 -2.67156856],3.492578e-01,"[[ 0.10580948 -0.01567119]
 [-0.01567119  0.06607336]]"
22,132,8.148005e-04,[[ 1.97407802 -0.79162015]],3.265824e-03,3.447327e-01,-2.671059e+00,4.889692e-02,9.803001e-02,-5.340522e+00,[ 0.34473273 -2.67105863],3.184457e-01,"[[ 0.09314369 -0.01470388]
 [-0.01470388  0.05378325]]"
23,138,8.148005e-04,[[ 1.97407802 -0.79162015]],6.176727e-03,4.165133e-01,-2.774704e+00,4.940961e-02,1.096731e-01,-5.217861e+00,[ 0.41651328 -2.77470448],3.331749e-01,"[[ 0.08524907 -0.02958623]
 [-0.02958623  0.07383367]]"
24,144,8.148005e-04,[[ 1.97407802 -0.79162015]],1.028970e-03,4.262348e-01,-2.695139e+00,5.153574e-02,8.858414e-02,-5.389282e+00,[ 0.42623484 -2.69513948],2.835995e-01,"[[ 0.07290888 -0.01830381]
 [-0.01830381  0.067211  ]]"
25,150,7.557868e-04,[[ 1.97407802 -0.79162015]],1.590715e-03,3.773621e-01,-2.663231e+00,4.152441e-02,8.546473e-02,-5.641125e+00,[ 0.37736214 -2.66323062],2.508960e-01,"[[ 0.06596622 -0.02183069]
 [-0.02183069  0.06102291]]"
26,156,4.409168e-04,[[ 1.97407802 -0.79162015]],1.224288e-04,3.839268e-01,-2.702773e+00,3.572188e-02,6.930087e-02,-6.001290e+00,[ 0.38392676 -2.70277319],2.083672e-01,"[[ 0.05269192 -0.01678852]
 [-0.01678852  0.05233082]]"
27,162,4.409168e-04,[[ 1.97407802 -0.79162015]],4.883430e-04,4.164841e-01,-2.697951e+00,3.120608e-02,5.975049e-02,-6.284720e+00,[ 0.41648411 -2.69795108],1.827456e-01,"[[ 0.04881619 -0.01387639]
 [-0.01387639  0.04214039]]"
28,168,1.362708e-04,[[ 1.97407802 -0.79162015]],5.936102e-04,4.077763e-01,-2.719661e+00,2.854831e-02,4.969902e-02,-6.557928e+00,[ 0.40777635 -2.71966052],1.611258e-01,"[[ 0.03898576 -0.01057445]
 [-0.01057445  0.03926157]]"
29,174,1.362708e-04,[[ 1.97407802 -0.79162015]],5.231645e-05,3.873073e-01,-2.700563e+00,2.283027e-02,4.795920e-02,-6.817073e+00,[ 0.38730731 -2.700563  ],1.406709e-01,"[[ 0.03656771 -0.0125096 ]
 [-0.0125096   0.03422176]]"
30,180,1.253220e-05,[[ 1.97407802 -0.79162015]],1.236220e-04,3.918573e-01,-2.688462e+00,2.074348e-02,4.031476e-02,-7.086561e+00,[ 0.39185729 -2.68846209],1.239091e-01,"[[ 0.03000984 -0.00977185]
 [-0.00977185  0.03104841]]"
31,186,1.253220e-05,[[ 1.97407802 -0.79162015]],3.822190e-06,3.938848e-01,-2.701159e+00,1.691863e-02,3.296514e-02,-7.491644e+00,[ 0.39388478 -2.70115868],9.782163e-02,"[[ 0.02380713 -0.0079426 ]
 [-0.0079426   0.02607664]]"
32,192,1.596279e-06,[[ 1.97407802 -0.79162015]],1.179362e-04,4.052483e-01,-2.698382e+00,1.604657e-02,2.835129e-02,-7.695343e+00,[ 0.4052483  -2.69838228],9.121056e-02,"[[ 0.02355986 -0.00599995]
 [-0.00599995  0.02083801]]"
33,198,1.596279e-06,[[ 1.97407802 -0.79162015]],5.305202e-06,3.956785e-01,-2.701213e+00,1.408241e-02,2.287550e-02,-8.040518e+00,[ 0.39567846 -2.7012127 ],7.457946e-02,"[[ 0.02023584 -0.00403026]
 [-0.00403026  0.01672206]]"
34,204,1.596279e-06,[[ 1.97407802 -0.79162015]],9.569788e-06,3.928434e-01,-2.701938e+00,1.186571e-02,1.867083e-02,-8.414895e+00,[ 0.39284337 -2.70193818],6.335880e-02,"[[ 0.01718281 -0.00281282]
 [-0.00281282  0.01335373]]"
35,210,1.596279e-06,[[ 1.97407802 -0.79162015]],3.226915e-06,3.962161e-01,-2.699425e+00,1.014547e-02,1.480495e-02,-8.803521e+00,[ 0.39621607 -2.69942548],5.118649e-02,"[[ 0.01395121 -0.00180253]
 [-0.00180253  0.01099922]]"
36,216,1.596279e-06,[[ 1.97407802 -0.79162015]],5.772389e-06,3.922183e-01,-2.698331e+00,8.059114e-03,1.356459e-02,-9.121244e+00,[ 0.39221826 -2.69833127],4.503844e-02,"[[ 0.01255614 -0.00212956]
 [-0.00212956  0.00906756]]"
37,222,1.596279e-06,[[ 1.97407802 -0.79162015]],1.603577e-06,3.939963e-01,-2.698089e+00,6.582734e-03,1.088652e-02,-9.543535e+00,[ 0.39399626 -2.69808862],3.577837e-02,"[[ 0.01022878 -0.0015486 ]
 [-0.0015486   0.00724048]]"
38,228,1.475843e-06,[[ 1.97407802 -0.79162015]],1.862103e-06,3.931340e-01,-2.698840e+00,5.449974e-03,8.650910e-03,-9.962235e+00,[ 0.393134   -2.69883968],2.836236e-02,"[[ 0.00818528 -0.00112856]
 [-0.00112856  0.0059156 ]]"
39,234,6.210613e-07,[[ 1.97407802 -0.79162015]],1.672183e-07,3.945082e-01,-2.699680e+00,4.396721e-03,7.842278e-03,-1.027512e+01,[ 0.3945082  -2.69968043],2.456656e-02,"[[ 0.00719762 -0.00134374]
 [-0.00134374  0.00504138]]"
40,240,2.753951e-07,[[ 1.97407802 -0.79162015]],1.403436e-07,3.941378e-01,-2.699040e+00,3.636718e-03,6.257952e-03,-1.069058e+01,[ 0.39413777 -2.69904017],1.881036e-02,"[[ 0.00578942 -0.0010043 ]
 [-0.0010043   0.00410525]]"
41,246,2.753951e-07,[[ 1.97407802 -0.79162015]],2.043945e-07,3.946420e-01,-2.698883e+00,3.036438e-03,5.141653e-03,-1.106745e+01,[ 0.39464201 -2.69888299],1.587301e-02,"[[ 0.00489449 -0.00067768]
 [-0.00067768  0.0032836 ]]"
42,252,2.753951e-07,[[ 1.97407802 -0.79162015]],6.308814e-07,3.941564e-01,-2.700027e+00,4.017877e-03,4.151873e-03,-1.100120e+01,[ 0.39415636 -2.70002719],1.664721e-02,"[[ 4.05121362e-03 -5.79281508e-05]
 [-5.79281508e-05  4.11853620e-03]]"
43,258,2.307843e-07,[[ 1.97407802 -0.79162015]],2.012456e-07,3.948696e-01,-2.699216e+00,3.303031e-03,3.909852e-03,-1.125717e+01,[ 0.39486964 -2.699216  ],1.422066e-02,"[[0.00366417 0.00029787]
 [0.00029787 0.00354872]]"
44,264,1.313056e-07,[[ 1.97407802 -0.79162015]],2.294914e-08,3.942843e-01,-2.699225e+00,2.751290e-03,3.328860e-03,-1.160081e+01,[ 0.39428434 -2.69922524],1.176859e-02,"[[0.00325207 0.0001961 ]
 [0.0001961  0.00282808]]"
45,270,1.313056e-07,[[ 1.97407802 -0.79162015]],2.274024e-08,3.943141e-01,-2.699178e+00,2.213704e-03,2.673322e-03,-1.203752e+01,[ 0.39431409 -2.69917843],9.203286e-03,"[[0.00263936 0.00012023]
 [0.00012023 0.00224766]]"
46,276,1.942002e-08,[[ 1.97407802 -0.79162015]],1.533644e-07,3.940919e-01,-2.699075e+00,1.847610e-03,2.395976e-03,-1.232783e+01,[ 0.39409193 -2.69907495],8.185462e-03,"[[ 2.39442095e-03 -2.91596898e-05]
 [-2.91596898e-05  1.84916452e-03]]"
47,282,1.942002e-08,[[ 1.97407802 -0.79162015]],1.036327e-07,3.942589e-01,-2.699005e+00,1.559582e-03,1.959084e-03,-1.269862e+01,[ 0.39425886 -2.69900457],6.736723e-03,"[[1.95882642e-03 1.01411451e-05]
 [1.01411451e-05 1.55983947e-03]]"
48,288,1.942002e-08,[[ 1.97407802 -0.79162015]],1.102151e-07,3.941850e-01,-2.699051e+00,1.235614e-03,1.571356e-03,-1.315200e+01,[ 0.39418503 -2.69905117],5.238265e-03,"[[1.56995005e-03 2.16793989e-05]
 [2.16793989e-05 1.23701968e-03]]"
49,294,3.536920e-09,[[ 1.97407802 -0.79162015]],1.534682e-08,3.943030e-01,-2.699263e+00,1.225170e-03,1.762428e-03,-1.304574e+01,[ 0.39430296 -2.69926255],5.503217e-03,"[[ 0.00138031 -0.00024348]
 [-0.00024348  0.00160728]]"
